tidak_baku,baku
abadiat,abadiah
abdas,berabdas
abdul,abdu
aben,mengaben
abrek,seabrek
abrit-abrit,abrit-abritan
acat,acatan
acau,mengacau
aco,mengaco
aco-acoan,acoan
acu,mengacu
acum,mengacum
adap,adap-adapan
adeh,beradeh
adjektif,adjektiva
adon,mengadon
adpertensi,advertensi
adpis,advis
adstringen,astringen
adu domba,domba
adu untung,untung
aduk,mengaduk
aestetika,estetika
afdol,afdal
afkir,apkir
agel,agal
agribisnis,agrobisnis
agut,mengagut-agut
aih,ai
ajektiva,adjektiva
aju,mengajukan
akasa,angkasa
aklimasi,aklimatisasi
akomodir,akomodasi
aksara pegon,pegon
akte,akta
aktip,aktif
alau,burung
algoritma,algoritme
ali,mengali
alihragam,ragam
alik,ulang
aling,mengalingi
Alip,alip-alipan
almari,lemari
alobar,angin
alpokat,avokad
amandemen,amendemen
amarah,marah
ambak,mengambak
ambalela,balela
ambeg,ambek
ambek,mengambek
amberal,admiral
ambil alih,alih
ambring,ambring-ambringan
ambur,mengambur
amien,amin
ammi,ami
ampelam,mempelam
ampibi,amfibi
amplas,ampelas
ampung,apung
amputir,amputasi
amuba,ameba
anakda,ananda
analisa,analisis
anamel,enamel
ancam,mengancam
anduh,menganduh
anestesia,anestesi
angga,berangga
anggit,menganggit
anggul,beranggul
anggut,beranggut
angkus,angkusa
angkut,mengangkut
angus,hangus
anjak,beranjak
anjal,menganjal
ansor,ansar
antar,berantar
antari,baju
antih,mengantih
antimon,antimonium
antri,antre
antuk,berantuk
antul,mengantul
anulir,menganulir
anut,menganut
anyak,enyak
anyak-anyik,onyak-anyik
anyam,menganyam
anyik,onyak-anyik
apa boleh buat,buat
apem,apam
apium,opium
apotik,apotek
aprit,mengaprit
apung,apung-apung
aqidah,akidah
arabika,kopi
arbitrasi,arbitrase
arerut,ararut
aria,Arya
arih,mengarih
arsir,mengarsir
artifak,artefak
artik,arktika
aru-aru,hantu
aruk,mengaruk
asabiyah,asabiah
asong,mengasong
asperses,asparagus
astana,istana
asuh,mengasuh
atmosfir,atmosfer
atsiri,asiri
atung,atung-atung
auto,oto
autofon,otofon
autologi,otologi
automatis,otomatis
autoskop,otoskop
avertebrata,invertebrata
awalengas,mengawalengaskan
awin,pengawinan
awut,awut-awutan
ayap,mengayap
ayeng,ayeng-ayengan
ayid,ayit
ayom,mengayomi
ayuk,ayut
ayum,mengayum
ayut,mengayut
azamat,azmat
azemat,azmat
babah,baba
baban,membaban
babang,terbabang
babas,membabas
babit,membabitkan
baca,membaca
bacah,membacah
bacem,membacem
bacok,membacok
bade,bade-bade
bagongan,bahasa
bagul,membagul
bahagi,bagi
Baitulmukadis,Baitulmukadas
bajik,kebajikan
baju kemeja,kemeja
baju kutang,kutang
baju mantel,mantel
baju maskat,maskat
baju surjan,surjan
baju zirah,zirah
bakak,berbakak
bakar,membakar
bakhsis,baksis
bakterisid,bakterisida
balah,berbalah
baling,baling-baling
balit,belit
balsem,balsam
bancah,bencah
bancang,membancang
bandring,bandering
bandrol,banderol
bangai,terbangai
bangka,bangkar
bangkir,bongkar-bangkir
bangkuang,bengkuang
bangun-bangun,daun
banian,benian
banjur,membanjur
bansai,banzai
bantar,membantar
banteras,berantas
bantut,membantut
banu,bani
bapao,bakpao
baragajul,bergajul
barakatuh,barakatuh
barangan,berangan
barap,pembarap
baras,abras
barbir,barber
barep,barap
bargas,barkas
barik,barik-barik
baring,berbaring
barometer baku,mutlak
baronsai,barongsai
barzakh,alam
basekat,baskat
baskat,beskap
basmi,membasmi
baso,bakso
basoka,bazoka
bata-bata,terbata-bata
batalyon,batalion
batas penanggalan,internasional
batau,baktau
batela,batel
bati,sebati
batila,batel
batu akik,akik
batu gamping,gamping
batu marmer,marmer
batu pualam,pualam
bawa,membawa
bawal pipih,cermin
bayang,bayang-bayang
bayar,berbayar
bayat,baiat
bayem,bayam
bayong,membayong
be-,ber-
bebang,terbebang
bebar,berbebar
bebeksan,beksan
beber,membeber
becolok,bicokok
bedar,bidar
bedaru,pohon
bedel,membedel
bedukang,ikan
begandring,begandering
begasi,bagasi
behandel,membehandel
behena,bena
behina,bena
bekap,membekap
bekasam,pekasam
bekuk,membekuk
bekukung,bekuku
bel-,ber-
belahak,membelahak
belakin,belangkin
belalak,membelalak
belandang,membelandang
belangah,terbelangah
belar,selar-belar
belasut,membelasut
belata,pelata
beldu,beledu
belederu,beledu
belendung,membelendung
beli,membeli
beliak,membeliak
beligu,beligo
belingkang,terbelingkang
belingsat,belingsatan
belingut,terbelingut
belintang,berbelintang
belongkot,belongkotan
belontok,belodok
belot,membelot
belu,membelu
beludru,beledu
beluhan,baluh
belukang,bedukang
belungsing,membelungsing
belur,balur
bembam,membembam
bembet,bimbit
bemper,bumper
benam,berbenam
bendalu,benalu
bendar,bandar
bendel,bundel
bendela,bandela
benggal,benggil
bengik,bengek
bengkal,kebengkalan
bengkalai,terbengkalai
bengkap,benkap
bengkar,membengkar
bengkarap,bengkerap
bengkol,pengkol
bengkos,membengkos
bengkudu,mengkudu
bensol,benzol
bentak,membentak
bentangur besar,batu
bentangur bukit,batu
bentangur jantan,bunga
bentangur laut,bunga
bentangur mumut,ara
bentangur pasir,ara
bentes,benteh
bentil,pentil
bentoh,bantah
bentok,kebentok
bentong,berbentong-bentong
bentus,terbentus
benum,membenum
berai,berberaian
beranang,merah
berangai,mati
berangsong,berongsong
berantak,berantakan
berantas,memberantas
bercekakan,bercekakakan
bercelur,tangan
bercokok,becokok
berebes,mili
beredel,memberedel
berenga,bernga
berengut,memberengut
berentang,memberentang
berhana,seberhana
berhari,Minggu
beri,memberi
beri tahu,tahu
berihat,berehat
berinda,seberinda
beringisan,peringis
berjauh,hati
bermatikan,-diri
bermaulid,-Rasul
bermengkal,-hati
bermuram,-durja
berokat,brokat
beron,memberon
berongsang,memberongsang
beronsang,berongsang
berosot,memberosot
beroya,tanah
berpadang,luas
bersil,membersil
bersit,membersit
bertarap,sembah
beru,anak
berumbun,terberumbun
berunai,brunai
berusak,diri
berzanji,barzanji
besel,beselan
beskat,beskap
beslah,membeslah
bestik,bistik
betot,membetot
biau,berbiau
biawak pohon,kudung
biawan,biawan
bidas,membidas
bidik,membidik
biennale,bienial
bihalal,halalbihalal
bihari,bahari
bihausy,bius
bika,bikang
bilas,berbilas
bilau,kacau-balau
bilyar,biliar
bilyun,biliun
bimbit,membimbit
binari,biner
binatu,penatu
bincacau,bincacak
bincang,berbincang
bingkas,membingkas
bingkis,membingkis
binjat,membinjat
biopendar,cahaya
birahi,berahi
birih,birai
bisan,besan
biskal,beskal
biskop,uskup
blantika,belantika
blepot,lepot
blokir,memblokir
bloon,beloon
bohok,buhuk
boikot,memboikot
bokot,bukut
bolot,membolot
bolsak,bulsak
bomantara,bumantara
bombardir,membombardir
bomor,bomoh
bonafid,bonafide
bonceng,membonceng
bongkak,congkak
bongkas,bungkas
bongkok,bungkuk
bonglai,bangle
bongmeh,membongmeh
bongsai,bonsai
bonyor,bonyok
bopong,membopong
borak,burak
borhan,burhan
borkol,brokoli
bostan,bustan
bota,buta
botor,kacang
brana,raja
brangas,berangas
brangus,berangus
bredel,beredel
breksi,breksia
brengsek,berengsek
brewok,berewok
brisan,bom
bromocorah,bramacorah
brongkos,berongkos
bubuh,membubuh
bubur harisah,harisah
budur,terbudur
buhur,buhul
bujanggi,bujangga
bukut,membukut
bulak,bulakan
bulug,balig
buluh talang,talang
bumel,api
bumi rata,membumiratakan
bungar,bungaran
bungkah,bongkah
bunker,bungker
bunuh,membunuh
bupet,bufet
burai,berburai
Burjusumbulat,Sunbulat
buru,berburu
burun,buron
burung enggak kecil,kecil
burung kuak,kuak
burung kuak-kuak,kuak
burung kuar,kuar
burung kuaran,kuar
burung murai,murai
burung punai,punai
busar,busur
butun,pohon
buyur,membuyur
byarpet,biarpet
cabe,cabai
cabur,kecaburan
cabut,mencabut
cacengklok,cecengklok
caci-maki,maki
cadir,cadar
caduk,mencaduk
cadung,bercadung
cagil,mencagil
cagun,mencagun
cagut,mencagut
cakmau,camau
cakur,cekur
calempong,celempong
calus,celus
cambah,kecambah
camcau,cincau
camil,camilan
